iter	MultiClass
0	-3.474465781
1	-3.408647958
2	-3.352143921
3	-3.299554014
4	-3.253187682
5	-3.211779372
6	-3.174963563
7	-3.141028118
8	-3.109586263
9	-3.08062516
10	-3.053582266
11	-3.027996866
12	-3.003627626
13	-2.981561261
14	-2.960650523
15	-2.940884396
16	-2.922370426
17	-2.905230928
18	-2.88847837
19	-2.873118211
20	-2.858041596
21	-2.843695391
22	-2.830570432
23	-2.817890595
24	-2.805604628
25	-2.794403784
26	-2.782922239
27	-2.772106838
28	-2.762060965
29	-2.75232335
30	-2.742755359
31	-2.73427155
32	-2.725559544
33	-2.717836157
34	-2.710125497
35	-2.702623915
36	-2.695874591
37	-2.689393845
38	-2.682538028
39	-2.67653227
40	-2.670742565
41	-2.665260579
42	-2.659810992
43	-2.654937838
44	-2.650401617
45	-2.645317804
46	-2.64067616
47	-2.636232513
48	-2.632160792
49	-2.627630096
50	-2.623385642
51	-2.618913682
52	-2.614944195
53	-2.610970476
54	-2.607650016
55	-2.604745712
56	-2.601407457
57	-2.597772503
58	-2.594834384
59	-2.591619451
60	-2.588484914
61	-2.585477295
62	-2.582224239
63	-2.579900906
64	-2.576822592
65	-2.573977276
66	-2.571479049
67	-2.568687685
68	-2.565883533
69	-2.563535041
70	-2.561252009
71	-2.559398153
72	-2.557016689
73	-2.555082176
74	-2.553657961
75	-2.55189042
76	-2.550256943
77	-2.54823771
78	-2.546844893
79	-2.545175452
80	-2.543960204
81	-2.542655751
82	-2.541083357
83	-2.539308287
84	-2.537717273
85	-2.535587747
86	-2.534122554
87	-2.533018554
88	-2.531128684
89	-2.529138374
90	-2.528261432
91	-2.526610254
92	-2.524730142
93	-2.522942706
94	-2.521495542
95	-2.519718839
96	-2.518278585
97	-2.517327282
98	-2.516664283
99	-2.515380989
100	-2.51398114
101	-2.512797216
102	-2.512256301
103	-2.511539311
104	-2.510151688
105	-2.50863302
106	-2.507560455
107	-2.505911822
108	-2.504882283
109	-2.503773705
110	-2.503134635
